title,heading,paragraph
How to Camp in the Rain (with Pictures) - wikiHow,Keep cooking fires away from the tent and tarps.,"Open flames should never be near tents or tarps. Set your stove outside the door of your tent or under a tarp, making sure the tarp is elevated far above the flames. Never cook inside the tent, since itll put you at risk for fires and carbon monoxide poisoning.[19] If an emergency forces you to cook inside the tent, do it at the entrance with the tents flaps pulled as far away as possible."
How to Camp in the Rain (with Pictures) - wikiHow,Warm up anyone who seems to be suffering from hypothermia.,"Hypothermia is a serious health hazard and must be treated immediately. Get the person out of wet clothing. Cover them with any warm clothing, blankets, and sleeping bags you have. If possible, get them medical attention right away.[20] Hypothermia is a loss of body heat, so look for signs of constant shivering, hyperventilating, tiredness, and pale skin."
How to Camp in the Rain (with Pictures) - wikiHow,Stay away from rocks or other slippery ground.,"Wet rocks, muddy trails, and grassy or mossy slopes all become more dangerous in the rain. Avoid them as much as possible, whether youre hiking or walking around in camp. Wait for them to dry before you begin hiking again.[21] Be sure to wear hiking boots with plenty of ankle support when around these areas."
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,Crush 6 cloves of garlic,with the back of a knife. Peel 6 cloves of garlic and set them on a cutting board. Use the flat blade of a chef's knife to press down firmly on each clove of garlic.[1] The pressure will crush the garlic and release flavor.
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,Saut the garlic in olive oil for 2 to 3 minutes.,Put the crushed garlic into a non-reactive saucepan and pour in 5 tablespoons (74ml) of the extra-virgin olive oil. Turn the burner to medium and heat the garlic until it becomes golden brown.[2] Stir the garlic occasionally so it cooks evenly.
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,Stir in the tomatoes with their juice and season with salt and pepper.,Open a 28-ounce (794 g) can of whole plum tomatoes and stir the tomatoes with their juice into the saucepan. Add salt and pepper according to your taste.[3]
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,Stir and simmer the sauce for 10 to 15 minutes over medium-high heat.,Turn the burner up to medium-high so the sauce begins to bubble steadily. Stir the sauce occasionally as it cooks and thickens.[4] The tomato juice should evaporate as the sauce cooks.
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,Stir in the rest of the olive oil and crush the tomatoes with a spoon.,Turn the burner to high and stir in the remaining 3 tablespoons (44ml) of olive oil. Use the back of a wooden spoon to crush the tomatoes.[5]
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,Cook the sauce for 2 to 3 minutes and turn off the burner.,Continue to simmer the sauce until the oil turns red. Then turn off the burner and serve the sauce.[6]
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,Stir in fresh basil and serve the sauce over pasta.,Add 10 fresh basil leaves and stir them into the sauce. You can leave the basil whole or chop it. Spoon the sauce over cooked pasta and serve it immediately.[7] Store the leftover sauce in an airtight container in the refrigerator for 3 to 4 days. You can also freeze it for up to 6 months.
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,"Cook the ground beef, onion, and garlic over medium heat for 7 to 8 minutes.","Pour 2 tablespoons (30ml) of olive oil into a large skillet or Dutch oven and turn the burner to medium. Stir in 1 pound (450g) of lean ground beef, 1 cup (150 g) of diced yellow onion, and 2 teaspoons (6 g) of minced garlic. Stir and cook the meat mixture until the beef is browned and crumbly.[8] Since you're using lean ground beef, there shouldn't be much grease to drain off. If the meat is very greasy, drain off excess grease before finishing the sauce."
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,"Add the tomato paste, basil, oregano, thyme, fennel, and optional crushed pepper.",Scoop 6 ounces (170 g) of tomato paste into the skillet and add the herbs. Stir well to combine the ingredients and cook the sauce over medium heat for 1 to 2 minutes. Add salt and pepper to taste.[9]
3 Ways to Make Homemade Spaghetti Sauce - wikiHow,"Add the tomatoes, broth, and sugar and simmer the sauce for 30 minutes.",Open a 28-ounce (794 g) can of whole or crushed San Marzano tomatoes and pour it into the skillet. Stir in 2 cups (470ml) of beef broth and 2 teaspoons (8 g) of sugar. Turn the burner to medium-high so the sauce comes to a boil. Reduce the temperature to low and let the sauce bubble gently for 30 minutes.[10] Keep the lid off of the sauce so some of the liquid evaporates and the sauce thickens. Simmer the sauce for up to 2 hours for a more flavorful and tender sauce.
